博雅生物,39.0092071,30498,1640,3,制造业
科斯伍德,-56.9640116,3564,1644,3,制造业
飞力达,67.3597396,17481,1655,7,运输仓储
联创节能,-80.5806768,-45616,1661,3,制造业
星星科技,10.9221911,29216,1662,3,制造业
光韵达,40.9072187,-8658,1667,3,制造业
新宙邦,49.6852114,-7447,1672,3,制造业
美晨科技,-60.960999,33035,1697,3,制造业
银信科技,55.3775577,-10074,1704,8,信息技术
北京君正,211.084807,-30546,1732,3,制造业
海伦钢琴,33.6014574,12587,1780,3,制造业
华星创业,-21.9444448,24597,1781,8,信息技术
吉艾科技,5.8466575,-7122,1785,3,制造业
鼎龙股份,4.0483984,-8654,1789,3,制造业
通光线缆,-86.6013511,38555,1810,3,制造业
硅宝科技,-56.3641298,13769,1840,3,制造业
恒信移动,-51.4074282,7262,1843,6,批发零售
华录百纳,6.1616807,8160,1861,13,文化传播
启源装备,39.0912399,-8460,1863,3,制造业
恒顺电气,-40.7750348,1835,1869,3,制造业
华鹏飞,-41.4481869,-38481,1905,7,运输仓储
当升科技,116.1986739,-41828,1919,3,制造业
万讯自控,-23.6636479,-46301,1929,3,制造业
北信源,-17.0726159,27043,1948,8,信息技术
初灵信息,109.7623448,-8878,1993,3,制造业
福安药业,12.7270777,-11778,1994,3,制造业
迪安诊断,-70.2312755,-5564,1998,12,卫生
三诺生物,13.2048596,-7760,2013,3,制造业
亿纬锂能,266.5516455,-49713,2026,3,制造业
锐奇股份,-58.2535264,20365,2062,3,制造业
安诺其,36.4698158,29489,2084,3,制造业
海达股份,20.1607744,12204,2092,3,制造业
利德曼,10.0838915,-27837,2116,3,制造业
易联众,0.2216031,-44057,2141,8,信息技术
乐视网,45.6036733,-9112,2156,8,信息技术
明家科技,44.9770593,6146,2219,3,制造业
宜通世纪,11.2898222,-5630,2234,8,信息技术
佳士科技,44.09943,-23628,2240,3,制造业
特锐德,181.441659,-49648,2244,3,制造业
利亚德,152.1587972,8567,2254,3,制造业
富瑞特装,-40.671501,27272,2261,3,制造业
三维丝,237.489244,-47260,2267,3,制造业
上海凯宝,47.5166199,-2153,2268,3,制造业
安科瑞,-95.0627453,17093,2272,3,制造业
吴通通讯,-47.9586541,30252,2277,3,制造业
东方国信,31.2472018,-36966,2302,8,信息技术
上海新阳,21.0988146,-12038,2307,3,制造业
永贵电器,36.2140326,11642,2324,3,制造业
银禧科技,7.1859095,42807,2336,3,制造业
鼎汉技术,16.4685242,-7921,2345,3,制造业
万福生科,-55.4146348,31233,2371,3,制造业
安科生物,39.9406163,-15315,2384,3,制造业
金运激光,-15.6708185,-33348,2393,3,制造业
超图软件,13.1720331,-47062,2398,8,信息技术
东宝生物,-90.6252362,-50887,2444,3,制造业
联建光电,79.1537182,32136,2457,3,制造业
巴安水务,36.482815,-53148,2472,5,建筑业
上海钢联,230.3353169,-148,2475,8,信息技术
纳川股份,-4.9020844,-2184,2486,3,制造业
松德股份,25.1524214,-25220,2530,3,制造业
恒泰艾普,49.689876,39671,2574,2,采矿业
坚瑞消防,200.8533717,-45581,2590,3,制造业
东软载波,-22.278704,22567,2600,8,信息技术
瑞普生物,37.1654682,-14495,2625,3,制造业
华宇软件,42.3298541,-39417,2640,8,信息技术
珈伟股份,49.4126609,37861,2654,3,制造业
高新兴,86.4455178,8400,2664,3,制造业
戴维医疗,17.2021191,17444,2676,3,制造业
常山药业,0.4618341,-35128,2686,3,制造业
佳讯飞鸿,48.8556338,-40033,2689,3,制造业
东华测试,-61.164103,39953,2734,3,制造业
银之杰,35.5412203,6735,2743,8,信息技术
三五互联,43.1287861,32246,2751,8,信息技术
凯利泰,27.3871476,261,2758,3,制造业
向日葵,20.9116161,-30492,2771,3,制造业
中际装备,18.9893519,17315,2814,3,制造业
数字政通,182.374137,1859,2847,8,信息技术
三丰智能,30.8986417,21358,2880,3,制造业
慈星股份,82.2852508,42270,2995,3,制造业
瑞凌股份,98.796248,-30061,2996,3,制造业
新研股份,49.0764196,-20421,3008,3,制造业
万达信息,97.5174715,25584,3013,8,信息技术
天龙光电,14.2215672,22094,3013,3,制造业
信维通信,10.8332393,37260,3014,3,制造业
元力股份,-45.5513951,-2365,3015,3,制造业
洲明科技,3.6701407,-19975,3017,3,制造业
南方泵业,1.9997911,7414,3027,3,制造业
任子行,34.9776959,-3466,3036,8,信息技术
安居宝,114.6517308,24410,3051,3,制造业
桑乐金,40.6489385,-41396,3056,3,制造业
晨光生物,-88.4976851,22537,3062,3,制造业
汉得信息,16.4488026,28082,3077,8,信息技术
东方财富,35.1184342,6048,3084,8,信息技术
德威新材,55.2992779,10006,3096,3,制造业
太阳鸟,50.8690182,-46081,3125,3,制造业
荃银高科,-44.6197798,-42341,3149,1,农林牧渔
新宁物流,299.0384693,27687,3163,7,运输仓储
金亚科技,14.1220637,15455,3205,3,制造业
欧比特,25.4988757,9075,3209,3,制造业
中海达,-46.7884253,-26896,3221,3,制造业
华力创通,24.0315187,11259,3232,3,制造业
台基股份,-22.1407225,-51318,3278,3,制造业
麦捷科技,172.0189664,-19984,3290,3,制造业
国腾电子,-27.9885305,-6690,3294,3,制造业
网宿科技,-52.0865069,-28726,3294,8,信息技术
翰宇药业,3.0686132,-7250,3297,3,制造业
朗源股份,-98.2184786,27670,3303,3,制造业
通源石油,296.030242,41737,3307,2,采矿业
碧水源,138.7825956,33466,3314,11,公共环保
东方电热,122.8497211,-45392,3319,3,制造业
方直科技,273.4632176,-20003,3333,8,信息技术
英唐智控,193.0825924,-48074,3334,3,制造业
盛运股份,15.3125876,6194,3345,3,制造业
星河生物,27.3287035,947,3376,1,农林牧渔
电科院,219.360444,42724,3395,10,科研服务
晶盛机电,-85.0656171,25659,3409,3,制造业
长盈精密,3.9179759,-36847,3424,3,制造业
宝利沥青,-65.2425339,-48092,3427,3,制造业
佐力药业,84.5174893,4632,3431,3,制造业
潜能恒信,-69.045823,21439,3449,2,采矿业
金信诺,42.0878019,-18242,3456,3,制造业
开能环保,35.621714,30857,3459,3,制造业
钢研高纳,12.5251464,31377,3471,3,制造业
华策影视,0.4392261,-28401,3481,13,文化传播
蓝英装备,82.3492693,12975,3487,3,制造业
华峰超纤,-97.9254162,-3605,3509,3,制造业
经纬电材,19.0569033,19164,3519,3,制造业
聚飞光电,0.5715756,-6454,3528,3,制造业
尤洛卡,12.9281195,-9992,3538,3,制造业
兴源过滤,207.8002748,-49433,3539,3,制造业
朗玛信息,26.0738096,-35705,3542,8,信息技术
国民技术,49.2965309,-51918,3543,3,制造业
天源迪科,46.7963942,-53815,3564,8,信息技术
长信科技,-44.6038929,30708,3565,3,制造业
红日药业,213.6690219,-35220,3569,3,制造业
南都电源,-76.3200851,-20948,3580,3,制造业
立思辰,-9.7645442,-6071,3597,8,信息技术
舒泰神,40.2169361,-43285,3602,3,制造业
邦讯技术,-48.8537629,-34342,3614,8,信息技术
汤臣倍健,0.4177214,30422,3637,3,制造业
朗科科技,184.520321,3303,3673,3,制造业
海默科技,-17.024723,-20643,3677,2,采矿业
中电环保,13.7470467,-28137,3681,11,公共环保
先河环保,-64.3919104,-13254,3727,3,制造业
秀强股份,291.5393492,-35793,3739,3,制造业
天泽信息,-73.1435598,-36415,3746,8,信息技术
同花顺,39.3561766,-24187,3750,8,信息技术
劲胜股份,200.9280806,-31822,3766,3,制造业
佳创视讯,51.5975481,-8794,3766,8,信息技术
苏大维格,6.8778118,-38002,3768,3,制造业
神州泰岳,254.1499891,41525,3769,8,信息技术
银江股份,141.0203495,-15965,3794,8,信息技术
通裕重工,225.6956776,-19708,3823,3,制造业
顺网科技,14.5262448,-12880,3840,8,信息技术
迪威视讯,168.4550495,-6682,3845,8,信息技术
易华录,13.5814032,57,3864,8,信息技术
蓝盾股份,96.6915073,-12713,3873,8,信息技术
金通灵,245.2504349,38849,3875,3,制造业
赛为智能,45.2769446,38185,3875,8,信息技术
瑞丰光电,-60.8786947,-42470,3875,3,制造业
西部牧业,2.2137312,-49009,3878,1,农林牧渔
量子高科,106.6930038,14648,3890,3,制造业
万邦达,26.9486755,-14463,3892,5,建筑业
世纪瑞尔,168.5554835,-21014,3893,8,信息技术
神农大丰,43.9916644,-22496,3896,1,农林牧渔
铁汉生态,15.6148964,-45984,3906,5,建筑业
和晶科技,206.7471138,13307,3938,3,制造业
双龙股份,110.7533282,-25652,3945,3,制造业
梅安森,238.2326244,-53300,3945,8,信息技术
金刚玻璃,-65.8433221,-33430,3965,3,制造业
泰格医药,274.9739116,-39478,3969,10,科研服务
汇川技术,8.5912165,-40385,3978,3,制造业
飞利信,-76.5667341,19455,3985,8,信息技术
华仁药业,14.0454141,-41494,3989,3,制造业
润和软件,-44.2730991,39062,3997,8,信息技术
旋极信息,-35.5851396,25364,3998,8,信息技术
腾邦国际,7.9360034,-5525,4012,9,商务服务
东富龙,48.6803083,-552,4029,3,制造业
捷成股份,3.252817,40216,4041,8,信息技术
天喻信息,158.355444,-21405,4062,3,制造业
华谊嘉信,24.5793937,-34038,4072,9,商务服务
回天胶业,12.027645,-9340,4086,3,制造业
中能电气,49.7870073,3844,4106,3,制造业
蒙草抗旱,25.3058537,1558,4112,5,建筑业
九洲电气,22.6140178,-39213,4123,3,制造业
宝通带业,21.6463862,-15659,4159,3,制造业
宋城股份,4.5483786,-53416,4176,11,公共环保
硕贝德,-79.1343099,35214,4176,3,制造业
新文化,44.6191179,18250,4211,13,文化传播
汇冠股份,-54.3392353,5169,4215,3,制造业
力源信息,1.323339,-38454,4219,6,批发零售
光一科技,18.5058335,-36454,4230,3,制造业
华灿光电,44.8011534,-24500,4257,3,制造业
合康变频,2.8018073,15025,4257,3,制造业
海联讯,8.8422136,20459,4264,8,信息技术
华中数控,34.7167893,-4173,4283,3,制造业
新国都,155.7405461,-24756,4286,3,制造业
亿通科技,44.1044509,38811,4327,3,制造业
红宇新材,17.6262597,23984,4336,3,制造业
和佳股份,297.303077,36667,4345,3,制造业
同有科技,41.8465521,-42132,4353,8,信息技术
中元华电,30.4163675,26934,4359,3,制造业
掌趣科技,-99.853221,13602,4393,8,信息技术
冠昊生物,107.0625946,-43365,4405,3,制造业
沃森生物,14.5166442,20778,4411,3,制造业
科泰电源,190.3976839,-20753,4423,3,制造业
三川股份,-77.5696722,-51155,4428,3,制造业
开元仪器,-44.5569274,-30426,4443,3,制造业
维尔利,33.7460493,-18399,4458,11,公共环保
永清环保,7.1523282,15444,4459,11,公共环保
探路者,39.6265213,31010,4463,3,制造业
开山股份,220.8486118,18394,4472,3,制造业
隆华节能,-75.8872873,3102,4472,3,制造业
迪森股份,-87.5545522,-4451,4474,4,水电煤气
尔康制药,18.3478032,-10678,4480,3,制造业
锦富新材,17.2645575,-8013,4488,3,制造业
宝莱特,29.3839469,2516,4506,3,制造业
万顺股份,136.7436938,-42977,4544,3,制造业
太空板业,247.4816514,36023,4584,3,制造业
华平股份,47.2297155,25735,4585,8,信息技术
科新机电,-73.6638022,22919,4634,3,制造业
华测检测,-19.8459581,-20406,4637,10,科研服务
南风股份,57.2019857,-39832,4641,3,制造业
仟源制药,278.4680104,18456,4646,3,制造业
精锻科技,271.8994808,-11625,4656,3,制造业
鸿利光电,-28.0154453,19644,4658,3,制造业
阳普医疗,148.6704418,-53261,4665,3,制造业
华虹计通,-46.6411602,33906,4665,8,信息技术
天山生物,-30.1719602,39504,4680,1,农林牧渔
四方达,-74.96279,-16334,4689,3,制造业
理邦仪器,1.0176179,-9332,4783,3,制造业
聚龙股份,46.6029871,22973,4792,3,制造业
大华农,25.8661694,-19062,4802,3,制造业
新开普,44.1363477,-49787,4803,8,信息技术
兆日科技,14.3544632,33103,4825,8,信息技术
金利华电,21.4961605,30628,4845,3,制造业
海兰信,-77.6506352,9833,4888,3,制造业
南通锻压,-51.8286992,-4925,4918,3,制造业
达刚路机,-64.4637289,-7556,4930,3,制造业
北陆药业,-41.3661675,-1711,4967,3,制造业
